recno_1,Name_1,RAJ2000,DEJ2000,pmRA,pmDE,PrAll,PrPM,OName,recno_2,Name_2,n_Name,l_WLi,WLi,u_WLi,l_WLiF,WLiF,u_WLiF,TempV,TeffChi,LBol,l_ALi,ALi,e3ALi,Prot,Amp,l_Vsini,Vsini,PClass,LiClass,logLX_Lbol
61,HII1005,56.60015,24.361542,15.5,-38.77,1.0,0.91,--,53,HII1005,,,46.0,,,46.0,,4750,4908,0.176,,1.221,0.123,,,,,--,--,
62,HII1015,56.613968,25.135563,20.0,-44.6,1.0,0.97,HII1015 HD282952 TrR13 DH448,54,HII1015,,,145.0,,,145.0,,6000,5887,1.014,,3.057,0.1,1.72095653,0.0092,,9.6,A,--,29.403
63,HII1032,56.618378,24.433918,21.9,-40.29,1.0,0.34,HII1032 Tr296 DH450,112,HII1032,,,236.0,,,212.0,,5250,5309,0.634,,2.864,0.113,1.32333028,0.0417,,37.2,F,Rich,30.233
64,HII1095,56.65739,24.747698,13.32,-57.38,1.0,0.01,HII1095 Tr316 DH462,55,HII1095,,,154.0,,,138.0,,5000,5099,0.35,,2.17,0.102,0.86705307,0.0044,,3.6,F,--,29.073
65,HII1110,56.662018,24.520338,16.94,-41.49,1.0,0.93,HII1110 Tr322,56,HII1110,,,44.0,,,21.0,,4400,4424,0.133,,0.265,0.4,7.96319798,0.0274,,5.9,S,--,29.099
66,HII1122,56.663857,24.103243,13.54,-51.28,1.0,0.11,HII1122 HD23511 Tr327,57,HII1122,Bin?,,85.0,,,67.0,,6500,6622,2.69,,3.035,0.128,,,,28.6,--,--,29.623
67,HII1124,56.664104,24.029688,16.57,-40.21,1.0,0.94,HII1124 Tr329 DH463,113,HII1124,,,203.0,,,217.0,,4750,4875,0.254,,2.349,0.113,6.41558,0.0164,,3.5,S,Rich,29.543
68,HII1132,56.659985,22.919804,21.1,-43.0,1.0,0.94,HII1132 HD23514,58,HII1132,,,49.0,,,46.0,,6500,6449,2.53,,2.792,0.16,,,,40.0,--,--,
69,HII1139,56.666656,23.11037,17.2,-46.5,1.0,0.91,HII1139 HD23513 Tr331,59,HII1139,,,66.0,,,51.0,,6500,6600,2.54,,2.887,0.151,,,,31.4,--,--,
70,HII1182,56.696087,22.914593,19.8,-46.6,1.0,0.96,HII1182,60,HII1182,Bin?,,156.0,,,136.0,,6000,5879,1.055,,2.993,0.104,2.99605468,0.0204,,16.4,A,--,
71,HII1200,56.71057,23.239195,17.6,-37.9,0.94,0.22,HII1200 Tr346,61,HII1200,,,79.0,,,67.0,,6250,6207,1.69,,2.802,0.136,,,,13.7,--,--,
72,HII1207,56.72883,24.796349,17.7,-45.8,0.98,0.93,HII1207 HD282962 Tr348 DH477,62,HII1207,,,141.0,,,141.0,,6000,5977,1.05,,3.117,0.103,,,,5.1,--,--,
73,HII1215,56.72391,23.5836,20.2,-43.9,0.99,0.95,HII1215 Tr350,63,HII1215,,,125.0,,,125.0,,6000,5975,1.001,,3.014,0.103,,,,4.1,--,--,29.413
74,HII1220,56.72192,22.880943,16.47,-43.54,1.0,0.84,HII1220,64,HII1220,,,158.0,,,158.0,,5250,5289,0.371,,2.512,0.103,6.15460725,0.0208,,6.3,S,--,
75,HII1284,56.76755,23.995174,19.3,-44.4,1.0,0.97,HII1284 HD23585 Tr365,65,HII1284,,,48.0,,,48.0,,7500,7427,5.83,,2.843,0.106,,,,107.5,--,--,27.79
76,HII1298,56.77825,23.71517,10.02,-41.36,1.0,0.25,HII1298 Tr369,66,HII1298,Bin?,,98.0,,,91.0,,4750,4846,0.261,,1.569,0.116,7.62860983,0.0237,,4.8,S,--,29.583
